reseña_id,libro_id,cliente_id,calificacion,comentario,fecha_reseña
746,434-9-54-121762-8,480,1,Confuso y aburrido.,2024-11-24
747,985-1-65-228735-3,651,4,"Buena historia, bien desarrollada.",2022-02-04
748,337-5-57-378513-3,710,3,Tiene puntos interesantes pero no destaca.,2022-12-28
749,035-7-13-432406-0,635,1,De los peores libros que he leído.,2022-01-09
750,501-7-75-917489-5,501,3,"Está bien, pero no me atrapó del todo.",2020-11-23
751,488-1-05-039167-8,503,3,"Pasable, lectura ligera.",2024-10-11
752,953-9-46-766262-5,655,3,"Pasable, lectura ligera.",2020-06-22
753,056-8-25-832014-6,646,3,"Está bien, pero no me atrapó del todo.",2020-11-03
754,192-9-08-338265-2,573,5,"Una lectura imprescindible, muy bien escrito.",2020-05-07
755,644-2-00-629877-9,649,1,"No me gustó nada, mal escrito.",2020-10-02
756,352-8-66-013855-2,576,3,"Pasable, lectura ligera.",2020-05-12
757,466-6-05-226124-8,358,4,"Buena historia, bien desarrollada.",2024-03-03
758,370-4-50-386072-3,279,5,"Una lectura imprescindible, muy bien escrito.",2024-02-12
759,918-3-86-488362-8,522,3,"Regular, algunas partes aburridas.",2021-04-09
760,256-3-94-278816-3,391,4,"Buen libro, aunque con algunos altibajos.",2024-05-04
761,785-4-07-945393-8,321,3,"Correcto, aunque esperaba más profundidad.",2025-01-01
762,831-0-31-456457-3,493,4,Interesante y bien estructurado.,2021-05-17
763,986-1-63-421254-9,276,4,Interesante y bien estructurado.,2024-12-28
764,252-3-62-292587-5,528,3,"Está bien, pero no me atrapó del todo.",2023-04-04
765,774-1-49-057175-7,362,2,Poco claro en algunos capítulos.,2025-09-14
766,571-7-49-058496-9,325,2,No me convenció la trama.,2022-08-27
767,727-6-04-128177-4,227,3,Tiene puntos interesantes pero no destaca.,2024-02-20
768,795-1-96-245240-2,765,2,"Demasiado simple, le falta desarrollo.",2020-12-19
769,900-1-85-132797-2,517,4,"Cumple lo que promete, recomendable.",2024-08-09
770,414-5-28-784759-0,789,1,"No me gustó nada, mal escrito.",2023-07-22
771,087-6-01-467238-6,661,4,"Buen libro, aunque con algunos altibajos.",2023-11-12
772,882-4-93-534001-5,765,5,"Una lectura imprescindible, muy bien escrito.",2021-06-12
773,987-4-05-419199-8,715,1,"Muy malo, una pérdida de tiempo.",2025-10-23
774,573-4-72-435861-5,512,2,No me convenció la trama.,2023-08-14
775,659-4-80-531602-1,555,5,"Magnífico, superó mis expectativas.",2020-11-19
776,674-8-67-358182-5,402,5,"Magnífico, superó mis expectativas.",2021-05-27
777,075-3-50-246948-5,747,1,No vale la pena leerlo.,2021-11-21
778,497-9-05-735805-0,795,2,No me convenció la trama.,2023-10-14
779,001-9-90-739488-4,243,1,"Muy malo, una pérdida de tiempo.",2020-07-05
780,968-2-29-833691-0,472,2,"Demasiado simple, le falta desarrollo.",2024-09-02
781,144-2-70-312073-6,710,5,"Magnífico, superó mis expectativas.",2023-05-22
782,690-7-00-960896-8,451,4,"Buena historia, bien desarrollada.",2025-01-31
783,148-7-82-455696-5,262,2,"No lo recomendaría, bastante predecible.",2024-08-29
784,894-3-38-053634-4,676,2,Poco claro en algunos capítulos.,2021-08-11
785,187-9-89-763302-3,527,3,"Pasable, lectura ligera.",2021-06-19
786,085-8-37-558263-4,728,5,"Excelente libro, lo recomiendo totalmente.",2023-07-31
787,549-1-77-326096-1,678,1,Confuso y aburrido.,2025-01-15
788,876-6-32-790423-1,345,1,"Muy malo, una pérdida de tiempo.",2023-04-03
789,476-3-98-572685-8,629,2,No me convenció la trama.,2023-09-03
790,019-2-49-074882-8,521,2,No me convenció la trama.,2025-08-02
791,074-6-86-386461-7,679,4,"Buena historia, bien desarrollada.",2025-07-30
792,779-7-17-751701-3,293,4,"Buen libro, aunque con algunos altibajos.",2025-02-15
793,594-2-19-379313-8,421,5,"Magnífico, superó mis expectativas.",2020-07-18
794,821-4-56-532863-5,489,4,"Buen libro, aunque con algunos altibajos.",2025-04-11
795,502-6-13-409731-5,750,1,"Muy malo, una pérdida de tiempo.",2024-10-31
796,897-2-84-540182-8,471,3,"Pasable, lectura ligera.",2024-02-07
797,897-7-82-806479-3,611,1,No vale la pena leerlo.,2022-03-08
798,674-6-16-160543-5,767,3,"Está bien, pero no me atrapó del todo.",2024-05-01
799,714-8-91-255291-0,662,5,"Magnífico, superó mis expectativas.",2021-05-01
800,699-9-69-882904-5,300,4,"Buena historia, bien desarrollada.",2023-10-20
801,396-7-07-106011-1,575,2,No me convenció la trama.,2025-09-16
802,626-4-65-889987-2,713,1,"Muy malo, una pérdida de tiempo.",2020-06-08
803,573-5-32-366185-4,542,4,"Buen libro, aunque con algunos altibajos.",2025-02-14
804,135-8-72-717430-6,728,2,Poco claro en algunos capítulos.,2023-07-28
805,958-7-30-549824-0,603,5,"Magnífico, superó mis expectativas.",2023-10-09
806,810-6-59-503632-4,722,5,De lo mejor que he leído últimamente.,2023-05-12
807,848-6-18-174575-6,218,3,"Correcto, aunque esperaba más profundidad.",2021-03-24
808,014-4-63-384554-3,798,3,"Está bien, pero no me atrapó del todo.",2025-04-27
809,344-6-33-246568-6,793,5,"Una lectura imprescindible, muy bien escrito.",2020-07-29
810,867-6-84-441219-8,692,2,"Demasiado simple, le falta desarrollo.",2024-04-06
811,335-1-58-807053-2,449,1,No vale la pena leerlo.,2021-03-26
812,771-1-50-629179-5,220,4,"Buena historia, bien desarrollada.",2024-09-11
813,205-5-03-300008-2,623,2,"No lo recomendaría, bastante predecible.",2025-08-17
814,421-2-06-605808-6,264,2,"Demasiado simple, le falta desarrollo.",2022-04-29
815,044-2-81-645808-6,533,4,"Buen libro, aunque con algunos altibajos.",2024-03-23
816,743-0-87-803782-3,378,4,"Buen libro, aunque con algunos altibajos.",2023-11-03
817,528-1-34-978575-8,563,3,Tiene puntos interesantes pero no destaca.,2025-06-06
818,138-8-74-022346-0,453,3,Tiene puntos interesantes pero no destaca.,2023-05-07
819,937-1-78-472146-9,505,3,"Regular, algunas partes aburridas.",2025-06-25
820,996-3-69-184544-6,692,3,Tiene puntos interesantes pero no destaca.,2023-01-25
821,072-4-87-641261-2,325,5,"Simplemente perfecto, gran autor.",2024-04-04
822,989-5-11-139977-5,554,2,Poco claro en algunos capítulos.,2020-06-21
823,896-4-16-450862-3,281,3,"Pasable, lectura ligera.",2022-11-16
824,564-9-71-729126-1,420,2,"Demasiado simple, le falta desarrollo.",2023-01-15
825,372-8-73-576856-5,479,2,"Flojo, esperaba más del autor.",2022-09-07
826,329-1-36-964804-1,252,5,"Una lectura imprescindible, muy bien escrito.",2022-08-11
827,033-9-93-788614-3,303,4,"Buena historia, bien desarrollada.",2025-04-18
828,900-4-04-769210-6,341,1,No vale la pena leerlo.,2021-10-08
829,295-5-76-930888-2,688,4,Interesante y bien estructurado.,2023-03-22
830,804-8-29-407828-4,493,1,"Muy malo, una pérdida de tiempo.",2022-08-09
831,274-9-91-438397-4,239,2,"No lo recomendaría, bastante predecible.",2021-12-21
832,098-8-13-858542-5,607,4,Interesante y bien estructurado.,2023-03-31
833,851-4-03-696566-7,210,3,Tiene puntos interesantes pero no destaca.,2021-03-15
834,479-8-01-170564-4,492,4,"Buen libro, aunque con algunos altibajos.",2025-07-16
835,116-5-99-302020-2,717,4,"Buena historia, bien desarrollada.",2022-02-28
836,208-2-83-230898-9,539,2,"No lo recomendaría, bastante predecible.",2022-11-19
837,475-9-78-335488-1,215,3,"Correcto, aunque esperaba más profundidad.",2022-03-02
838,436-7-86-210781-7,616,4,"Buen libro, aunque con algunos altibajos.",2023-09-05
839,588-6-79-252985-2,611,1,"No me gustó nada, mal escrito.",2021-07-29
840,938-5-55-079320-8,532,2,"Flojo, esperaba más del autor.",2022-12-04
841,266-2-81-076777-1,442,4,"Buena historia, bien desarrollada.",2023-09-12
842,954-0-62-789088-8,797,5,"Excelente libro, lo recomiendo totalmente.",2022-12-07
843,246-4-56-048511-6,442,1,"Muy malo, una pérdida de tiempo.",2025-03-21
844,036-6-98-027644-7,364,4,"Buen libro, aunque con algunos altibajos.",2023-06-27
845,617-8-17-032119-6,503,3,Tiene puntos interesantes pero no destaca.,2022-06-23
846,523-2-28-058837-3,337,4,Interesante y bien estructurado.,2025-02-06
847,349-4-59-053754-6,583,4,"Buen libro, aunque con algunos altibajos.",2025-04-12
848,845-7-36-253034-8,424,2,"Demasiado simple, le falta desarrollo.",2020-12-01
849,880-2-72-099352-3,658,5,"Magnífico, superó mis expectativas.",2020-11-15
850,386-8-22-672356-4,315,1,No vale la pena leerlo.,2025-09-01
851,627-2-05-364991-6,787,5,"Una lectura imprescindible, muy bien escrito.",2021-11-04
852,939-8-59-308227-7,733,4,"Muy bueno, aunque esperaba un poco más.",2022-04-21
853,456-0-69-559915-0,701,1,No vale la pena leerlo.,2024-12-29
854,254-8-12-147853-0,665,2,"Demasiado simple, le falta desarrollo.",2024-08-28
855,450-5-29-653704-0,778,1,No vale la pena leerlo.,2025-03-08
856,287-7-47-869104-1,223,4,"Buena historia, bien desarrollada.",2020-01-13
857,423-3-00-805630-4,793,1,"Muy malo, una pérdida de tiempo.",2024-10-01
858,186-9-48-467475-1,266,5,"Excelente libro, lo recomiendo totalmente.",2020-10-09
859,195-2-61-718670-9,233,3,"Pasable, lectura ligera.",2022-01-07
860,430-3-11-587605-5,631,3,"Pasable, lectura ligera.",2025-01-11
861,910-5-48-256273-0,585,1,No vale la pena leerlo.,2021-06-28
862,299-9-07-619181-2,322,2,"Demasiado simple, le falta desarrollo.",2024-05-28
863,205-9-35-415723-4,331,2,"Flojo, esperaba más del autor.",2020-04-03
864,368-1-68-214073-3,675,5,De lo mejor que he leído últimamente.,2024-04-02
865,587-4-48-883923-1,454,4,"Buena historia, bien desarrollada.",2021-09-27
866,017-6-31-919863-6,394,1,"Muy malo, una pérdida de tiempo.",2024-09-13
867,221-8-90-927532-2,447,2,"Flojo, esperaba más del autor.",2021-02-17
868,278-3-32-859683-4,235,4,"Buen libro, aunque con algunos altibajos.",2020-07-18
869,826-4-29-518525-1,246,4,"Cumple lo que promete, recomendable.",2022-08-17
870,023-2-58-699800-0,423,1,"No me gustó nada, mal escrito.",2025-08-25
871,392-8-53-202546-9,440,5,"Magnífico, superó mis expectativas.",2023-08-06
872,118-6-01-811239-9,510,2,"Demasiado simple, le falta desarrollo.",2022-06-24
873,581-1-24-507783-3,508,3,"Está bien, pero no me atrapó del todo.",2021-12-18
874,970-5-94-459914-6,770,4,"Muy bueno, aunque esperaba un poco más.",2023-11-11
875,610-8-49-297045-1,738,3,"Pasable, lectura ligera.",2024-07-30
876,336-4-77-041309-3,508,4,Interesante y bien estructurado.,2025-04-23
877,749-1-95-380884-4,431,3,"Regular, algunas partes aburridas.",2025-03-11
878,313-1-22-068155-1,776,4,"Cumple lo que promete, recomendable.",2021-07-03
879,145-1-49-514955-9,449,3,"Regular, algunas partes aburridas.",2023-09-14
880,853-8-00-329633-2,661,3,"Está bien, pero no me atrapó del todo.",2022-02-19
881,622-8-27-728813-4,475,4,"Buen libro, aunque con algunos altibajos.",2020-06-10
882,714-8-02-632570-7,393,5,"Simplemente perfecto, gran autor.",2022-06-07
883,951-9-74-395044-8,414,3,"Correcto, aunque esperaba más profundidad.",2020-03-03
884,336-0-80-901014-1,395,1,De los peores libros que he leído.,2022-09-20
885,598-9-60-993947-6,410,4,Interesante y bien estructurado.,2023-08-10
886,047-4-12-081803-4,590,4,"Buen libro, aunque con algunos altibajos.",2024-01-11
887,071-9-12-943370-4,468,3,Tiene puntos interesantes pero no destaca.,2025-07-29
888,272-8-28-815659-9,301,4,"Buena historia, bien desarrollada.",2022-04-12
889,088-5-89-981811-6,521,4,"Muy bueno, aunque esperaba un poco más.",2022-06-25
890,772-6-48-839585-0,217,3,Tiene puntos interesantes pero no destaca.,2024-09-06
891,816-1-15-566134-7,357,2,Poco claro en algunos capítulos.,2022-07-31
892,982-1-25-588774-8,784,2,"No lo recomendaría, bastante predecible.",2023-10-14
893,565-1-81-275917-1,701,4,"Cumple lo que promete, recomendable.",2021-11-20
894,719-0-70-677693-4,374,2,"Demasiado simple, le falta desarrollo.",2025-06-23
895,494-6-92-085649-4,756,1,No vale la pena leerlo.,2020-05-18
896,232-8-83-774419-4,250,1,De los peores libros que he leído.,2021-07-17
897,459-2-35-163832-3,270,2,"Flojo, esperaba más del autor.",2022-06-14
898,073-6-13-204063-7,667,3,"Está bien, pero no me atrapó del todo.",2025-06-02
899,536-0-04-545794-4,217,1,No vale la pena leerlo.,2024-08-11
900,750-9-97-700886-4,218,5,"Magnífico, superó mis expectativas.",2023-03-20
901,702-4-10-386571-0,715,4,Interesante y bien estructurado.,2021-03-14
902,051-5-53-234159-5,737,2,No me convenció la trama.,2022-02-25
903,487-8-64-801051-6,459,3,"Correcto, aunque esperaba más profundidad.",2024-06-13
904,853-8-00-329633-2,583,4,"Cumple lo que promete, recomendable.",2022-09-23
905,858-6-63-565418-1,508,1,"Muy malo, una pérdida de tiempo.",2021-01-17
906,875-6-34-491088-9,589,4,"Buen libro, aunque con algunos altibajos.",2025-05-03
907,333-7-38-987751-8,210,2,"Flojo, esperaba más del autor.",2025-08-09
908,532-4-97-539303-1,540,5,"Excelente libro, lo recomiendo totalmente.",2020-06-23
909,858-2-58-545513-7,417,5,De lo mejor que he leído últimamente.,2023-01-15
910,363-2-12-347649-2,277,3,Tiene puntos interesantes pero no destaca.,2020-05-14
911,700-1-44-130686-0,523,1,"No me gustó nada, mal escrito.",2021-08-13
912,978-8-14-124527-6,279,3,"Regular, algunas partes aburridas.",2022-09-11
913,356-7-94-154094-3,599,5,"Magnífico, superó mis expectativas.",2024-04-21
914,861-9-93-145843-3,281,5,"Magnífico, superó mis expectativas.",2020-08-07
915,113-2-53-269496-5,648,2,"Flojo, esperaba más del autor.",2023-10-27
916,064-0-91-917066-3,607,3,"Está bien, pero no me atrapó del todo.",2023-01-24
917,213-0-50-963994-9,703,2,Poco claro en algunos capítulos.,2024-03-17
918,549-1-14-065476-8,391,5,De lo mejor que he leído últimamente.,2020-12-17
919,045-8-40-892270-5,453,1,"Muy malo, una pérdida de tiempo.",2023-01-02
920,860-1-62-590841-6,590,2,"No lo recomendaría, bastante predecible.",2023-07-21
921,618-0-98-098804-9,310,1,"Muy malo, una pérdida de tiempo.",2023-06-16
922,602-6-90-959405-5,569,3,"Está bien, pero no me atrapó del todo.",2021-06-26
923,318-9-39-749096-4,392,4,"Cumple lo que promete, recomendable.",2025-09-29
924,019-1-65-364706-0,306,1,"Muy malo, una pérdida de tiempo.",2023-12-20
925,394-9-95-720203-7,296,5,"Simplemente perfecto, gran autor.",2023-08-21
926,056-9-51-063611-1,213,3,"Pasable, lectura ligera.",2024-05-07
927,701-5-50-291681-3,773,2,"Demasiado simple, le falta desarrollo.",2021-11-25
928,795-7-97-114917-3,374,2,Poco claro en algunos capítulos.,2023-05-18
929,629-0-25-153864-1,705,2,"Flojo, esperaba más del autor.",2021-11-15
930,201-3-37-045740-2,483,4,"Buena historia, bien desarrollada.",2025-06-06
931,707-0-57-836091-5,570,3,"Regular, algunas partes aburridas.",2025-07-23
932,697-3-60-630179-3,401,4,"Muy bueno, aunque esperaba un poco más.",2021-07-08
933,201-6-75-993001-5,207,4,"Buena historia, bien desarrollada.",2024-04-05
934,942-5-01-657555-6,651,3,"Pasable, lectura ligera.",2021-07-11
935,034-0-11-761706-8,529,5,"Una lectura imprescindible, muy bien escrito.",2025-05-16
936,597-6-62-084078-2,382,4,"Buena historia, bien desarrollada.",2023-04-08
937,444-3-94-469266-9,790,2,Poco claro en algunos capítulos.,2024-03-20
938,941-2-32-806253-9,603,3,"Está bien, pero no me atrapó del todo.",2022-03-29
939,813-0-12-170994-9,759,2,"Demasiado simple, le falta desarrollo.",2020-04-20
940,374-5-08-830682-4,415,4,"Buena historia, bien desarrollada.",2020-10-10
941,409-4-14-771682-1,712,2,Poco claro en algunos capítulos.,2022-09-18
942,541-3-33-665028-6,358,4,"Cumple lo que promete, recomendable.",2020-10-29
943,302-3-27-639169-3,691,5,De lo mejor que he leído últimamente.,2025-09-06
944,330-9-94-791415-7,757,1,Confuso y aburrido.,2020-12-14
945,056-6-18-632397-0,455,3,"Regular, algunas partes aburridas.",2020-06-30
946,711-3-83-514635-5,610,3,"Pasable, lectura ligera.",2021-03-09
947,656-7-66-182512-9,301,3,"Regular, algunas partes aburridas.",2025-09-22
948,049-1-93-187323-6,772,5,"Simplemente perfecto, gran autor.",2022-06-24
949,312-8-68-667756-3,584,4,"Cumple lo que promete, recomendable.",2025-08-11
950,327-6-17-948024-1,554,1,De los peores libros que he leído.,2021-03-04
951,565-8-03-638364-9,626,1,"Muy malo, una pérdida de tiempo.",2021-08-03
952,781-0-10-320823-3,520,3,"Pasable, lectura ligera.",2022-04-27
953,200-8-58-752193-0,695,3,"Pasable, lectura ligera.",2021-02-03
954,481-5-98-826874-0,664,3,"Está bien, pero no me atrapó del todo.",2023-05-14
955,499-4-65-796784-6,318,1,Confuso y aburrido.,2021-03-23
956,931-5-39-839122-9,450,5,"Una lectura imprescindible, muy bien escrito.",2021-10-17
957,886-8-99-690878-4,774,4,"Cumple lo que promete, recomendable.",2022-08-07
958,896-9-18-617568-6,389,2,"No lo recomendaría, bastante predecible.",2024-06-08
959,998-2-45-587716-5,403,4,"Buen libro, aunque con algunos altibajos.",2024-10-25
960,272-2-37-369504-8,205,2,No me convenció la trama.,2023-02-14
961,594-8-49-102562-9,792,1,No vale la pena leerlo.,2022-02-04
962,870-3-22-177599-4,534,2,"No lo recomendaría, bastante predecible.",2021-04-11
963,771-5-41-766045-9,702,5,"Magnífico, superó mis expectativas.",2024-05-10
964,911-7-53-317025-2,317,3,"Correcto, aunque esperaba más profundidad.",2025-02-18
965,123-9-61-219051-2,505,5,"Simplemente perfecto, gran autor.",2020-12-13
966,897-2-84-540182-8,521,1,"No me gustó nada, mal escrito.",2023-06-04
967,205-3-44-077794-8,388,3,"Regular, algunas partes aburridas.",2025-09-23
968,072-9-66-180843-4,629,5,"Una lectura imprescindible, muy bien escrito.",2024-04-20
969,717-4-06-686799-0,391,4,"Buen libro, aunque con algunos altibajos.",2021-12-10
970,016-6-41-509957-9,371,4,"Buena historia, bien desarrollada.",2021-07-28
971,766-1-36-628081-4,523,4,"Buen libro, aunque con algunos altibajos.",2020-08-07
972,775-0-44-806324-4,210,4,Interesante y bien estructurado.,2022-03-10
973,849-1-98-661329-2,776,5,De lo mejor que he leído últimamente.,2024-08-02
974,704-1-90-241617-2,626,4,"Cumple lo que promete, recomendable.",2021-11-16
975,334-3-24-474175-7,779,1,"No me gustó nada, mal escrito.",2023-04-11
976,622-7-83-769389-0,482,2,"Demasiado simple, le falta desarrollo.",2023-03-28
977,183-3-59-748768-3,669,5,De lo mejor que he leído últimamente.,2025-09-23
978,905-6-70-867009-1,787,1,Confuso y aburrido.,2024-02-11
979,140-6-92-600542-3,243,4,"Buen libro, aunque con algunos altibajos.",2022-06-14
980,961-2-65-088997-6,305,2,Poco claro en algunos capítulos.,2020-05-12
981,416-4-60-715006-6,470,3,"Está bien, pero no me atrapó del todo.",2024-12-03
982,617-8-17-032119-6,443,2,"Demasiado simple, le falta desarrollo.",2023-12-07
983,365-1-95-654560-1,639,2,"Demasiado simple, le falta desarrollo.",2021-07-24
984,677-6-00-643459-3,412,1,No vale la pena leerlo.,2023-12-07
985,328-4-56-889322-0,488,5,"Simplemente perfecto, gran autor.",2021-11-20
986,461-7-30-515133-5,500,3,Tiene puntos interesantes pero no destaca.,2022-12-31
987,048-9-88-336281-6,298,2,"No lo recomendaría, bastante predecible.",2020-08-30
988,593-6-01-941270-9,330,2,No me convenció la trama.,2021-08-22
989,838-2-92-162986-0,454,4,"Cumple lo que promete, recomendable.",2021-08-05
990,399-6-66-290913-3,476,4,"Cumple lo que promete, recomendable.",2025-01-25
991,908-1-97-400564-3,296,4,"Buen libro, aunque con algunos altibajos.",2023-02-13
992,170-1-83-137743-7,666,4,"Buena historia, bien desarrollada.",2020-01-11
993,484-5-39-862895-7,670,3,"Está bien, pero no me atrapó del todo.",2024-06-17
994,117-3-67-038625-1,640,2,"No lo recomendaría, bastante predecible.",2023-01-04
995,747-2-91-311265-2,491,3,Tiene puntos interesantes pero no destaca.,2021-06-18
996,248-1-72-971311-8,697,3,"Está bien, pero no me atrapó del todo.",2020-07-07
997,802-7-11-221823-1,671,1,"Muy malo, una pérdida de tiempo.",2021-10-09
998,207-9-07-798861-8,668,1,De los peores libros que he leído.,2022-04-08
999,074-0-91-311178-2,510,2,Poco claro en algunos capítulos.,2021-01-17
1000,727-9-39-226894-4,457,1,Confuso y aburrido.,2021-11-08
1001,960-4-43-270185-9,606,3,"Regular, algunas partes aburridas.",2024-10-24
1002,933-5-13-426192-0,298,1,"No me gustó nada, mal escrito.",2025-05-07
1003,445-5-11-668297-2,336,5,"Una lectura imprescindible, muy bien escrito.",2025-10-28
1004,677-0-52-979253-6,210,1,Confuso y aburrido.,2021-05-08
1005,341-6-63-826775-8,336,4,"Muy bueno, aunque esperaba un poco más.",2022-07-26
1006,641-7-93-996979-9,292,1,"Muy malo, una pérdida de tiempo.",2023-07-07
1007,596-1-97-400597-0,507,2,"No lo recomendaría, bastante predecible.",2021-06-29
1008,664-6-41-962342-9,271,5,"Simplemente perfecto, gran autor.",2020-02-04
1009,365-1-95-654560-1,369,4,"Buena historia, bien desarrollada.",2022-05-22
1010,205-5-03-300008-2,622,5,De lo mejor que he leído últimamente.,2022-06-08
1011,588-6-79-252985-2,303,2,"Flojo, esperaba más del autor.",2024-04-21
1012,737-8-15-616217-4,640,3,"Regular, algunas partes aburridas.",2022-10-11
1013,361-6-57-652822-9,287,2,"Demasiado simple, le falta desarrollo.",2023-03-13
1014,842-5-79-913662-4,509,2,"Demasiado simple, le falta desarrollo.",2025-09-18
1015,674-0-68-735445-7,602,3,"Está bien, pero no me atrapó del todo.",2022-09-07
1016,054-6-49-859017-8,596,1,"No me gustó nada, mal escrito.",2025-08-08
1017,278-3-32-859683-4,273,5,"Excelente libro, lo recomiendo totalmente.",2024-01-19
1018,708-0-63-139594-5,336,4,"Buen libro, aunque con algunos altibajos.",2024-09-19
1019,728-6-93-953910-8,760,2,"No lo recomendaría, bastante predecible.",2020-10-25
1020,138-0-00-307562-5,270,1,Confuso y aburrido.,2022-06-02
1021,790-3-20-204179-2,262,4,"Buen libro, aunque con algunos altibajos.",2023-03-19
1022,060-8-12-570602-1,626,4,"Cumple lo que promete, recomendable.",2020-12-03
1023,872-1-91-630916-3,751,5,"Una lectura imprescindible, muy bien escrito.",2023-02-10
1024,850-7-25-178637-7,518,1,No vale la pena leerlo.,2022-04-12
1025,864-6-33-953481-0,750,3,"Pasable, lectura ligera.",2020-09-27
1026,760-1-75-180077-7,648,2,"Flojo, esperaba más del autor.",2022-09-28
1027,046-0-56-876112-4,645,1,De los peores libros que he leído.,2020-08-13
1028,054-8-56-257504-3,380,1,"Muy malo, una pérdida de tiempo.",2021-07-16
1029,830-4-69-901398-6,368,4,"Buena historia, bien desarrollada.",2025-10-19
1030,276-1-76-404046-3,371,3,"Regular, algunas partes aburridas.",2023-01-05
1031,067-3-68-205068-9,231,3,"Pasable, lectura ligera.",2023-01-19
1032,589-6-01-937728-9,266,3,Tiene puntos interesantes pero no destaca.,2020-11-11
1033,337-5-57-378513-3,667,5,"Magnífico, superó mis expectativas.",2020-08-15
1034,238-8-40-995550-2,781,2,Poco claro en algunos capítulos.,2021-10-06
1035,521-1-27-596373-9,306,5,"Excelente libro, lo recomiendo totalmente.",2022-07-24
1036,542-7-71-410452-0,203,1,"Muy malo, una pérdida de tiempo.",2022-09-28
1037,820-8-29-737489-3,684,3,"Pasable, lectura ligera.",2021-09-06
1038,741-0-25-471798-3,237,5,De lo mejor que he leído últimamente.,2022-07-08
1039,451-2-56-222083-4,455,4,"Buena historia, bien desarrollada.",2023-01-16
1040,445-5-11-668297-2,786,3,"Está bien, pero no me atrapó del todo.",2025-08-18
1041,630-4-89-138249-3,384,2,"Demasiado simple, le falta desarrollo.",2020-07-07
1042,800-8-47-555773-1,271,4,"Buena historia, bien desarrollada.",2023-06-26
1043,173-4-60-873631-1,289,5,De lo mejor que he leído últimamente.,2020-02-02
1044,649-5-71-042599-3,406,3,Tiene puntos interesantes pero no destaca.,2023-05-29
1045,150-6-32-405102-9,676,3,Tiene puntos interesantes pero no destaca.,2025-07-13
1046,866-9-40-865424-0,760,2,No me convenció la trama.,2020-01-27
1047,615-2-83-056820-6,225,2,"Demasiado simple, le falta desarrollo.",2023-11-19
1048,026-2-06-724004-5,544,1,De los peores libros que he leído.,2023-06-13
1049,914-1-68-601347-0,411,5,"Una lectura imprescindible, muy bien escrito.",2024-09-15
1050,502-3-13-744715-4,262,2,Poco claro en algunos capítulos.,2021-01-16
1051,342-3-21-611076-4,438,5,De lo mejor que he leído últimamente.,2024-03-05
1052,489-5-64-252753-6,287,5,"Excelente libro, lo recomiendo totalmente.",2025-09-01
1053,620-2-75-582147-1,604,1,No vale la pena leerlo.,2020-09-12
1054,047-6-19-456158-8,334,2,Poco claro en algunos capítulos.,2022-12-05
1055,909-1-00-916659-1,603,3,"Correcto, aunque esperaba más profundidad.",2025-01-28
1056,797-9-83-676074-3,440,1,"No me gustó nada, mal escrito.",2021-07-11
1057,905-5-59-084831-1,312,2,"Flojo, esperaba más del autor.",2021-11-04
1058,196-8-24-369812-7,678,3,"Pasable, lectura ligera.",2021-05-09
1059,724-4-75-398792-5,567,2,"No lo recomendaría, bastante predecible.",2023-06-16
1060,136-6-49-290703-6,472,1,"Muy malo, una pérdida de tiempo.",2021-10-07
1061,053-6-79-120720-0,242,2,Poco claro en algunos capítulos.,2021-08-30
1062,933-5-13-426192-0,455,3,"Pasable, lectura ligera.",2025-10-04
1063,908-1-08-186617-5,507,3,"Regular, algunas partes aburridas.",2020-05-07
1064,823-7-08-444685-7,664,5,"Simplemente perfecto, gran autor.",2022-10-20
1065,356-0-22-939469-6,674,1,"No me gustó nada, mal escrito.",2021-05-12
1066,750-9-97-700886-4,264,2,No me convenció la trama.,2022-03-22
1067,865-1-46-601705-1,582,1,No vale la pena leerlo.,2022-11-26
1068,983-3-47-743326-9,223,1,"No me gustó nada, mal escrito.",2024-12-21
1069,724-6-30-198642-8,295,3,"Está bien, pero no me atrapó del todo.",2020-06-23
1070,695-4-02-313426-3,252,2,"Demasiado simple, le falta desarrollo.",2024-11-09
1071,720-2-98-113008-7,709,1,De los peores libros que he leído.,2024-10-13
1072,826-8-93-348649-6,563,2,No me convenció la trama.,2023-01-31
1073,586-0-34-563338-8,657,2,"Flojo, esperaba más del autor.",2022-10-03
1074,208-0-24-104150-3,711,4,"Buen libro, aunque con algunos altibajos.",2025-05-16
1075,330-2-76-420865-2,290,3,"Pasable, lectura ligera.",2021-07-16
1076,297-2-23-187086-9,405,5,"Una lectura imprescindible, muy bien escrito.",2020-03-20
1077,874-9-32-039226-7,568,4,"Buen libro, aunque con algunos altibajos.",2025-06-08
1078,144-1-24-522924-2,780,5,"Magnífico, superó mis expectativas.",2024-05-09
1079,434-4-21-117549-9,385,1,Confuso y aburrido.,2022-06-16
1080,569-9-61-125355-1,488,1,De los peores libros que he leído.,2024-01-04
1081,209-5-54-093436-4,439,2,"Flojo, esperaba más del autor.",2022-10-12
1082,907-6-15-001113-6,473,5,"Excelente libro, lo recomiendo totalmente.",2022-06-17
1083,754-3-54-778015-6,598,3,"Regular, algunas partes aburridas.",2021-12-22
1084,071-9-61-293321-6,526,3,Tiene puntos interesantes pero no destaca.,2020-04-25
1085,731-4-03-191666-1,782,5,"Una lectura imprescindible, muy bien escrito.",2022-02-10
